ID_Firm_Location,Link_Investor_Name_ID_floc,Date_Begin_floc,Date_End_floc,Link_FirmLoc_ID,link_note_item_id_firm_locat_note,Link_Data Source ID (Firm Loca - source),Remarks_floc,Date entered_floc,LastModified_floc,UpdatedBy_floc,x Link_Geo_Focus_Type ID,x Link_investor_profile_SC_type ID
48,4826,,,18,,,,"01/27/23 00:00:00",,,,
49,17067,,,54,,,,"01/27/23 00:00:00",,,,
50,4716,,,18,,,,"01/27/23 00:00:00",,,,
51,16371,,,18,,,,"01/27/23 00:00:00",,,,
52,5531,,,23,,,,"01/27/23 00:00:00",,,,
53,22553,,,23,,,,"01/27/23 00:00:00",,,,
54,18193,,,23,,,,"01/27/23 00:00:00",,,,
55,3286,,,23,,,,"01/27/23 00:00:00",,,,
56,5149,,,23,,,,"01/27/23 00:00:00",,,,
57,3584,,,23,,,,"01/27/23 00:00:00",,,,
58,21983,,,45,,,,"01/27/23 00:00:00",,,,
59,16913,,,18,,,,"01/27/23 00:00:00",,,,
60,5122,,,54,,,,"01/27/23 00:00:00",,,,
61,7565,,,3,,,,"01/27/23 00:00:00",,,,
62,20995,,,54,,,,"01/27/23 00:00:00",,,,
63,20445,,,3,,,,"01/27/23 00:00:00",,,,
64,15732,,,19,,,,"01/27/23 00:00:00",,,,
65,4940,,,18,,,,"01/27/23 00:00:00",,,,
66,24095,,,3,,,,"01/27/23 00:00:00",,,,
67,20526,,,56,,,,"01/27/23 00:00:00",,,,
68,4977,,,54,,,,"01/27/23 00:00:00",,,,
69,24013,,,45,,,,"01/27/23 00:00:00",,,,
70,21660,,,17,,,,"01/27/23 00:00:00",,,,
71,22576,,,16,,,,"01/27/23 00:00:00",,,,
72,2787,,,36,,,,"01/27/23 00:00:00",,,,
73,19375,,,54,,,,"01/27/23 00:00:00",,,,
74,23431,,,34,,,,"01/27/23 00:00:00",,,,
75,3888,,,46,,,,"01/27/23 00:00:00",,,,
76,8416,,,54,,,,"01/27/23 00:00:00",,,,
77,19232,,,54,,,,"01/27/23 00:00:00",,,,
78,18553,,,18,,,,"01/27/23 00:00:00",,,,
79,8118,,,18,,,,"01/27/23 00:00:00",,,,
80,19183,,,18,,,,"01/27/23 00:00:00",,,,
81,6388,,,18,,,,"01/27/23 00:00:00",,,,
82,19921,,,51,,,,"01/27/23 00:00:00",,,,
83,4113,,,38,,,,"01/27/23 00:00:00",,,,
84,16472,,,19,,,,"01/27/23 00:00:00",,,,
85,22075,,,54,,,,"01/27/23 00:00:00",,,,
86,24179,,,53,,,,"01/27/23 00:00:00",,,,
87,16436,,,18,,,,"01/27/23 00:00:00",,,,
88,6387,,,18,,,,"01/27/23 00:00:00",,,,
89,19231,,,18,,,,"01/27/23 00:00:00",,,,
90,8815,,,18,,,,"01/27/23 00:00:00",,,,
91,7043,,,18,,,,"01/27/23 00:00:00",,,,
92,8671,,,18,,,,"01/27/23 00:00:00",,,,
93,5937,,,18,,,,"01/27/23 00:00:00",,,,
94,8126,,,18,,,,"01/27/23 00:00:00",,,,
95,17012,,,18,,,,"01/27/23 00:00:00",,,,
96,4215,,,18,,,,"01/27/23 00:00:00",,,,
97,8127,,,18,,,,"01/27/23 00:00:00",,,,
98,6286,,,18,,,,"01/27/23 00:00:00",,,,
99,5457,,,18,,,,"01/27/23 00:00:00",,,,
100,5420,,,18,,,,"01/27/23 00:00:00",,,,
101,8816,,,18,,,,"01/27/23 00:00:00",,,,
102,6349,,,18,,,,"01/27/23 00:00:00",,,,
103,2842,,,18,,,,"01/27/23 00:00:00",,,,
104,19316,,,18,,,,"01/27/23 00:00:00",,,,
105,16637,,,54,,,,"01/27/23 00:00:00",,,,
106,16272,,,18,,,,"01/27/23 00:00:00",,,,
107,2438,,,18,,,,"01/27/23 00:00:00",,,,
108,8507,,,18,,,,"01/27/23 00:00:00",,,,
109,8339,,,18,,,,"01/27/23 00:00:00",,,,
110,4377,,,51,,,,"01/27/23 00:00:00",,,,
111,21352,,,54,,,,"01/27/23 00:00:00",,,,
112,5282,,,22,,,,"01/27/23 00:00:00",,,,
113,5283,,,22,,,,"01/27/23 00:00:00",,,,
114,21594,,,3,,,,"01/27/23 00:00:00",,,,
115,20729,,,3,,,,"01/27/23 00:00:00",,,,
116,20300,,,3,,,,"01/27/23 00:00:00",,,,
117,20063,,,3,,,,"01/27/23 00:00:00",,,,
118,4629,,,54,,,,"01/27/23 00:00:00",,,,
119,7082,,,3,,,,"01/27/23 00:00:00",,,,
120,20354,,,3,,,,"01/27/23 00:00:00",,,,
121,8362,,,3,,,,"01/27/23 00:00:00",,,,
122,6162,,,54,,,,"01/27/23 00:00:00",,,,
123,16762,,,18,,,,"01/27/23 00:00:00",,,,
124,17071,,,18,,,,"01/27/23 00:00:00",,,,
125,18753,,,18,,,,"01/27/23 00:00:00",,,,
126,7511,,,18,,,,"01/27/23 00:00:00",,,,
127,8125,,,18,,,,"01/27/23 00:00:00",,,,
128,2209,,,18,,,,"01/27/23 00:00:00",,,,
129,17952,,,18,,,,"01/27/23 00:00:00",,,,
130,2210,,,18,,,,"01/27/23 00:00:00",,,,
131,16372,,,18,,,,"01/27/23 00:00:00",,,,
132,2902,,,18,,,,"01/27/23 00:00:00",,,,
133,17264,,,18,,,,"01/27/23 00:00:00",,,,
134,4576,,,18,,,,"01/27/23 00:00:00",,,,
135,25228,,,18,,,,"01/27/23 00:00:00",,,,
136,5629,,,18,,,,"01/27/23 00:00:00",,,,
137,8864,,,18,,,,"01/27/23 00:00:00",,,,
138,8858,,,18,,,,"01/27/23 00:00:00",,,,
139,16212,,,18,,,,"01/27/23 00:00:00",,,,
140,16661,,,18,,,,"01/27/23 00:00:00",,,,
141,5734,,,54,,,,"01/27/23 00:00:00",,,,
142,17448,,,12,,,,"01/27/23 00:00:00",,,,
143,4557,,,54,,,,"01/27/23 00:00:00",,,,
144,8133,,,56,,,,"01/27/23 00:00:00",,,,
145,4943,,,18,,,,"01/27/23 00:00:00",,,,
146,8024,,,18,,,,"01/27/23 00:00:00",,,,
147,16664,,,18,,,,"01/27/23 00:00:00",,,,
148,9706,,,54,,,,"01/27/23 00:00:00",,,,
149,16678,,,18,,,,"01/27/23 00:00:00",,,,
150,23305,,,3,,,,"01/27/23 00:00:00",,,,
151,3763,,,89,,,,"01/27/23 00:00:00",,,,
152,4096,,,18,,,,"01/27/23 00:00:00",,,,
153,17287,,,55,,,,"01/27/23 00:00:00",,,,
154,18661,,,18,,,,"01/27/23 00:00:00",,,,
155,8859,,,18,,,,"01/27/23 00:00:00",,,,
156,2303,,,18,,,,"01/27/23 00:00:00",,,,
157,15874,,,18,,,,"01/27/23 00:00:00",,,,
158,6350,,,18,,,,"01/27/23 00:00:00",,,,
159,6776,,,18,,,,"01/27/23 00:00:00",,,,
160,4097,,,18,,,,"01/27/23 00:00:00",,,,
161,9076,,,18,,,,"01/27/23 00:00:00",,,,
162,15016,,,54,,,,"01/27/23 00:00:00",,,,
163,8360,,,3,,,,"01/27/23 00:00:00",,,,
164,15818,,,18,,,,"01/27/23 00:00:00",,,,
165,18341,,,18,,,,"01/27/23 00:00:00",,,,
166,7747,,,18,,,,"01/27/23 00:00:00",,,,
167,19020,,,18,,,,"01/27/23 00:00:00",,,,
168,19130,,,18,,,,"01/27/23 00:00:00",,,,
169,17817,,,18,,,,"01/27/23 00:00:00",,,,
170,16950,,,18,,,,"01/27/23 00:00:00",,,,
171,15869,,,18,,,,"01/27/23 00:00:00",,,,
172,16700,,,18,,,,"01/27/23 00:00:00",,,,
173,21288,,,33,,,,"01/27/23 00:00:00",,,,
174,6777,,,18,,,,"01/27/23 00:00:00",,,,
175,3739,,,38,,,,"01/27/23 00:00:00",,,,
176,4183,,,18,,,,"01/27/23 00:00:00",,,,
177,6053,,,18,,,,"01/27/23 00:00:00",,,,
178,18754,,,18,,,,"01/27/23 00:00:00",,,,
179,4996,,,18,,,,"01/27/23 00:00:00",,,,
180,16359,,,18,,,,"01/27/23 00:00:00",,,,
181,5973,,,18,,,,"01/27/23 00:00:00",,,,
182,16753,,,18,,,,"01/27/23 00:00:00",,,,
183,5791,,,18,,,,"01/27/23 00:00:00",,,,
184,8195,,,18,,,,"01/27/23 00:00:00",,,,
185,19194,,,18,,,,"01/27/23 00:00:00",,,,
186,18693,,,18,,,,"01/27/23 00:00:00",,,,
187,23466,,,18,,,,"01/27/23 00:00:00",,,,
188,9075,,,18,,,,"01/27/23 00:00:00",,,,
189,16352,,,18,,,,"01/27/23 00:00:00",,,,
190,5424,,,18,,,,"01/27/23 00:00:00",,,,
191,24988,,,18,,,,"01/27/23 00:00:00",,,,
192,4093,,,18,,,,"01/27/23 00:00:00",,,,
193,16699,,,18,,,,"01/27/23 00:00:00",,,,
194,21993,,,54,,,,"01/27/23 00:00:00",,,,
195,9018,,,45,,,,"01/27/23 00:00:00",,,,
196,20678,,,23,,,,"01/27/23 00:00:00",,,,
197,4814,,,23,,,,"01/27/23 00:00:00",,,,
198,6372,,,18,,,,"01/27/23 00:00:00",,,,
199,5836,,,18,,,,"01/27/23 00:00:00",,,,
200,19345,,,54,,,,"01/27/23 00:00:00",,,,
201,21739,,,54,,,,"01/27/23 00:00:00",,,,
202,16934,,,21,,,,"01/27/23 00:00:00",,,,
203,20525,,,56,,,,"01/27/23 00:00:00",,,,
204,5615,,,23,,,,"01/27/23 00:00:00",,,,
205,16964,,,18,,,,"01/27/23 00:00:00",,,,
206,7643,,,18,,,,"01/27/23 00:00:00",,,,
207,16683,,,54,,,,"01/27/23 00:00:00",,,,
208,22258,,,18,,,,"01/27/23 00:00:00",,,,
209,17144,,,18,,,,"01/27/23 00:00:00",,,,
210,9856,,,54,,,,"01/27/23 00:00:00",,,,
211,5078,,,45,,,,"01/27/23 00:00:00",,,,
212,24951,,,3,,,,"01/27/23 00:00:00",,,,
213,20485,,,3,,,,"01/27/23 00:00:00",,,,
214,22507,,,3,,,,"01/27/23 00:00:00",,,,
215,5260,,,3,,,,"01/27/23 00:00:00",,,,
216,23433,,,34,,,,"01/27/23 00:00:00",,,,
217,22510,,,3,,,,"01/27/23 00:00:00",,,,
218,24158,,,45,,,,"01/27/23 00:00:00",,,,
219,20296,,,3,,,,"01/27/23 00:00:00",,,,
220,23668,,,45,,,,"01/27/23 00:00:00",,,,
221,16549,,,18,,,,"01/27/23 00:00:00",,,,
222,16663,,,18,,,,"01/27/23 00:00:00",,,,
223,18917,,,18,,,,"01/27/23 00:00:00",,,,
224,2901,,,18,,,,"01/27/23 00:00:00",,,,
225,17818,,,18,,,,"01/27/23 00:00:00",,,,
226,6900,,,18,,,,"01/27/23 00:00:00",,,,
227,2449,,,54,,,,"01/27/23 00:00:00",,,,
228,9035,,,54,,,,"01/27/23 00:00:00",,,,
229,5027,,,38,,,,"01/27/23 00:00:00",,,,
230,2903,,,18,,,,"01/27/23 00:00:00",,,,
231,20214,,,3,,,,"01/27/23 00:00:00",,,,
232,24155,,,29,,,,"01/27/23 00:00:00",,,,
233,19922,,,51,,,,"01/27/23 00:00:00",,,,
234,6645,,,38,,,,"01/27/23 00:00:00",,,,
235,21446,,,54,,,,"01/27/23 00:00:00",,,,
236,14453,,,3,,,,"01/27/23 00:00:00",,,,
237,5106,,,54,,,,"01/27/23 00:00:00",,,,
238,5845,,,3,,,,"01/27/23 00:00:00",,,,
239,24444,,,17,,,,"01/27/23 00:00:00",,,,
240,17134,,,18,,,,"01/27/23 00:00:00",,,,
241,17983,,,18,,,,"01/27/23 00:00:00",,,,
242,7622,,,54,,,,"01/27/23 00:00:00",,,,
243,23568,,,34,,,,"01/27/23 00:00:00",,,,
244,23475,,,45,,,,"01/27/23 00:00:00",,,,
245,3443,,,51,,,,"01/27/23 00:00:00",,,,
246,5727,,,54,,,,"01/27/23 00:00:00",,,,
247,5131,,,18,,,,"01/27/23 00:00:00",,,,
248,5452,,,18,,,,"01/27/23 00:00:00",,,,
249,19383,,,54,,,,"01/27/23 00:00:00",,,,
250,23464,,,45,,,,"01/27/23 00:00:00",,,,
251,17085,,,38,,,,"01/27/23 00:00:00",,,,
252,8052,,,38,,,,"01/27/23 00:00:00",,,,
253,4038,,,54,,,,"01/27/23 00:00:00",,,,
254,16693,,,50,,,,"01/27/23 00:00:00",,,,
255,9285,,,22,,,,"01/27/23 00:00:00",,,,
256,20667,,,56,,,,"01/27/23 00:00:00",,,,
257,7354,,,38,,,,"01/27/23 00:00:00",,,,
258,24180,,,16,,,,"01/27/23 00:00:00",,,,
259,24153,,,45,,,,"01/27/23 00:00:00",,,,
260,7278,,,38,,,,"01/27/23 00:00:00",,,,
261,16294,,,18,,,,"01/27/23 00:00:00",,,,
262,16350,,,18,,,,"01/27/23 00:00:00",,,,
263,21350,,,47,,,,"01/27/23 00:00:00",,,,
264,18843,,,54,,,,"01/27/23 00:00:00",,,,
265,16818,,,56,,,,"01/27/23 00:00:00",,,,
266,6812,,,54,,,,"01/27/23 00:00:00",,,,
267,3754,,,45,,,,"01/27/23 00:00:00",,,,
268,8697,,,38,,,,"01/27/23 00:00:00",,,,
269,17172,,,38,,,,"01/27/23 00:00:00",,,,
270,9052,,,38,,,,"01/27/23 00:00:00",,,,
271,8568,,,38,,,,"01/27/23 00:00:00",,,,
272,4948,,,38,,,,"01/27/23 00:00:00",,,,
273,8005,,,38,,,,"01/27/23 00:00:00",,,,
274,6582,,,38,,,,"01/27/23 00:00:00",,,,
275,6577,,,38,,,,"01/27/23 00:00:00",,,,
276,16365,,,38,,,,"01/27/23 00:00:00",,,,
277,9170,,,17,,,,"01/27/23 00:00:00",,,,
278,7519,,,23,,,,"01/27/23 00:00:00",,,,
279,4807,,,23,,,,"01/27/23 00:00:00",,,,
280,3751,,,45,,,,"01/27/23 00:00:00",,,,
281,2838,,,54,,,,"01/27/23 00:00:00",,,,
282,5357,,,19,,,,"01/27/23 00:00:00",,,,
283,6722,,,34,,,,"01/27/23 00:00:00",,,,
284,23902,,,54,,,,"01/27/23 00:00:00",,,,
285,17068,,,54,,,,"01/27/23 00:00:00",,,,
286,20243,,,54,,,,"01/27/23 00:00:00",,,,
287,22121,,,3,,,,"01/27/23 00:00:00",,,,
288,21751,,,54,,,,"01/27/23 00:00:00",,,,
289,21116,,,54,,,,"01/27/23 00:00:00",,,,
290,20446,,,3,,,,"01/27/23 00:00:00",,,,
291,3752,,,45,,,,"01/27/23 00:00:00",,,,
292,22965,,,52,,,,"01/27/23 00:00:00",,,,
293,20484,,,3,,,,"01/27/23 00:00:00",,,,
294,22112,,,15,,,,"01/27/23 00:00:00",,,,
295,6157,,,3,,,,"01/27/23 00:00:00",,,,
296,22496,,,3,,,,"01/27/23 00:00:00",,,,
297,8967,,,3,,,,"01/27/23 00:00:00",,,,
298,5929,,,54,,,,"01/27/23 00:00:00",,,,
299,9159,,,38,,,,"01/27/23 00:00:00",,,,
300,7154,,,23,,,,"01/27/23 00:00:00",,,,
301,6679,,,23,,,,"01/27/23 00:00:00",,,,
302,19679,,,23,,,,"01/27/23 00:00:00",,,,
303,5532,,,23,,,,"01/27/23 00:00:00",,,,
304,22683,,,3,,,,"01/27/23 00:00:00",,,,
305,6818,,,45,,,,"01/27/23 00:00:00",,,,
306,17007,,,12,,,,"01/27/23 00:00:00",,,,
307,8974,,,50,,,,"01/27/23 00:00:00",,,,
308,23462,,,54,,,,"01/27/23 00:00:00",,,,
309,23308,,,3,,,,"01/27/23 00:00:00",,,,
310,24543,,,3,,,,"01/27/23 00:00:00",,,,
311,5395,,,54,,,,"01/27/23 00:00:00",,,,
312,7950,,,45,,,,"01/27/23 00:00:00",,,,
313,4071,,,54,,,,"01/27/23 00:00:00",,,,
314,22916,,,3,,,,"01/27/23 00:00:00",,,,
315,16470,,,18,,,,"01/27/23 00:00:00",,,,
316,18544,,,18,,,,"01/27/23 00:00:00",,,,
317,11033,,,54,,,,"01/27/23 00:00:00",,,,
318,3817,,,17,,,,"01/27/23 00:00:00",,,,
319,14937,,,38,,,,"01/27/23 00:00:00",,,,
320,23188,,,62,,,,"01/27/23 00:00:00",,,,
321,20244,,,3,,,,"01/27/23 00:00:00",,,,
322,5681,,,45,,,,"01/27/23 00:00:00",,,,
323,6817,,,45,,,,"01/27/23 00:00:00",,,,
324,20522,,,45,,,,"01/27/23 00:00:00",,,,
325,4693,,,54,,,,"01/27/23 00:00:00",,,,
326,5993,,,56,,,,"01/27/23 00:00:00",,,,
327,8504,,,16,,,,"01/27/23 00:00:00",,,,
328,4107,,,38,,,,"01/27/23 00:00:00",,,,
329,8966,,,34,,,,"01/27/23 00:00:00",,,,
330,7985,,,38,,,,"01/27/23 00:00:00",,,,
331,23901,,,54,,,,"01/27/23 00:00:00",,,,
332,5436,,,18,,,,"01/27/23 00:00:00",,,,
333,8814,,,18,,,,"01/27/23 00:00:00",,,,
334,8182,,,18,,,,"01/27/23 00:00:00",,,,
335,15936,,,18,,,,"01/27/23 00:00:00",,,,
336,6357,,,18,,,,"01/27/23 00:00:00",,,,
337,6413,,,38,,,,"01/27/23 00:00:00",,,,
338,24098,,,54,,,,"01/27/23 00:00:00",,,,
339,21986,,,56,,,,"01/27/23 00:00:00",,,,
340,19813,,,54,,,,"01/27/23 00:00:00",,,,
341,16495,,,20,,,,"01/27/23 00:00:00",,,,
342,21988,,,18,,,,"01/27/23 00:00:00",,,,
343,18665,,,18,,,,"01/27/23 00:00:00",,,,
344,7891,,,18,,,,"01/27/23 00:00:00",,,,
345,16473,,,18,,,,"01/27/23 00:00:00",,,,
346,21443,,,45,,,,"01/27/23 00:00:00",,,,
347,16962,,,18,,,,"01/27/23 00:00:00",,,,
348,17316,,,18,,,,"01/27/23 00:00:00",,,,
349,17279,,,18,,,,"01/27/23 00:00:00",,,,
350,19770,,,3,,,,"01/27/23 00:00:00",,,,
351,4717,,,18,,,,"01/27/23 00:00:00",,,,
352,16857,,,18,,,,"01/27/23 00:00:00",,,,
353,3478,,,18,,,,"01/27/23 00:00:00",,,,
354,21071,,,12,,,,"01/27/23 00:00:00",,,,
355,6288,,,18,,,,"01/27/23 00:00:00",,,,
356,7526,,,38,,,,"01/27/23 00:00:00",,,,
357,17062,,,54,,,,"01/27/23 00:00:00",,,,
358,8212,,,19,,,,"01/27/23 00:00:00",,,,
359,19315,,,47,,,,"01/27/23 00:00:00",,,,
360,24337,,,57,,,,"01/27/23 00:00:00",,,,
361,5022,,,47,,,,"01/27/23 00:00:00",,,,
362,8433,,,47,,,,"01/27/23 00:00:00",,,,
363,8978,,,54,,,,"01/27/23 00:00:00",,,,
364,24771,,,3,,,,"01/27/23 00:00:00",,,,
365,22135,,,33,,,,"01/27/23 00:00:00",,,,
366,19555,,,38,,,,"01/27/23 00:00:00",,,,
367,9042,,,29,,,,"01/27/23 00:00:00",,,,
368,20601,,,45,,,,"01/27/23 00:00:00",,,,
369,17890,,,18,,,,"01/27/23 00:00:00",,,,
370,25426,,,38,,,,"01/27/23 00:00:00",,,,
371,8862,,,18,,,,"01/27/23 00:00:00",,,,
372,16496,,,54,,,,"01/27/23 00:00:00",,,,
373,21658,,,3,,,,"01/27/23 00:00:00",,,,
374,2701,,,9,,,,"01/27/23 00:00:00",,,,
375,20095,,,54,,,,"01/27/23 00:00:00",,,,
376,14500,,,23,,,,"01/27/23 00:00:00",,,,
377,25087,,,18,,,,"01/27/23 00:00:00",,,,
378,16638,,,54,,,,"01/27/23 00:00:00",,,,
379,18668,,,93,,,,"01/27/23 00:00:00",,,,
380,22127,,,54,,,,"01/27/23 00:00:00",,,,
381,20345,,,54,,,,"01/27/23 00:00:00",,,,
382,5724,,,17,,,,"01/27/23 00:00:00",,,,
383,17013,,,62,,,,"01/27/23 00:00:00",,,,
384,5047,,,54,,,,"01/27/23 00:00:00",,,,
385,8919,,,54,,,,"01/27/23 00:00:00",,,,
386,14451,,,54,,,,"01/27/23 00:00:00",,,,
387,23617,,,21,,,,"01/27/23 00:00:00",,,,
388,21834,,,3,,,,"01/27/23 00:00:00",,,,
389,23160,,,54,,,,"01/27/23 00:00:00",,,,
390,16662,,,18,,,,"01/27/23 00:00:00",,,,
391,9058,,,38,,,,"01/27/23 00:00:00",,,,
392,5936,,,38,,,,"01/27/23 00:00:00",,,,
393,18638,,,18,,,,"01/27/23 00:00:00",,,,
394,17951,,,18,,,,"01/27/23 00:00:00",,,,
395,22883,,,17,,,,"01/27/23 00:00:00",,,,
396,20668,,,16,,,,"01/27/23 00:00:00",,,,
397,8261,,,38,,,,"01/27/23 00:00:00",,,,
398,3165,,,23,,,,"01/27/23 00:00:00",,,,
399,4808,,,23,,,,"01/27/23 00:00:00",,,,
400,9303,,,38,,,,"01/27/23 00:00:00",,,,
401,7243,,,17,,,,"01/27/23 00:00:00",,,,
402,9037,,,3,,,,"01/27/23 00:00:00",,,,
403,5566,,,18,,,,"01/27/23 00:00:00",,,,
404,6692,,,21,,,,"01/27/23 00:00:00",,,,
405,3001,,,38,,,,"01/27/23 00:00:00",,,,
406,15681,,,38,,,,"01/27/23 00:00:00",,,,
407,6496,,,18,,,,"01/27/23 00:00:00",,,,
408,6520,,,38,,,,"01/27/23 00:00:00",,,,
409,9027,,,34,,,,"01/27/23 00:00:00",,,,
410,5132,,,18,,,,"01/27/23 00:00:00",,,,
411,16378,,,18,,,,"01/27/23 00:00:00",,,,
412,4572,,,18,,,,"01/27/23 00:00:00",,,,
413,8134,,,18,,,,"01/27/23 00:00:00",,,,
414,4830,,,18,,,,"01/27/23 00:00:00",,,,
415,4101,,,3,,,,"01/27/23 00:00:00",,,,
416,22537,,,16,,,,"01/27/23 00:00:00",,,,
417,5732,,,38,,,,"01/27/23 00:00:00",,,,
418,19133,,,18,,,,"01/27/23 00:00:00",,,,
419,6379,,,23,,,,"01/27/23 00:00:00",,,,
420,22940,,,23,,,,"01/27/23 00:00:00",,,,
421,9210,,,45,,,,"01/27/23 00:00:00",,,,
422,3276,,,16,,,,"01/27/23 00:00:00",,,,
423,8979,,,54,,,,"01/27/23 00:00:00",,,,
424,7765,,,21,,,,"01/27/23 00:00:00",,,,
425,6305,,,18,,,,"01/27/23 00:00:00",,,,
426,5004,,,3,,,,"01/27/23 00:00:00",,,,
427,21595,,,3,,,,"01/27/23 00:00:00",,,,
428,21515,,,3,,,,"01/27/23 00:00:00",,,,
429,2439,,,18,,,,"01/27/23 00:00:00",,,,
430,15568,,,54,,,,"01/27/23 00:00:00",,,,
431,19428,,,18,,,,"01/27/23 00:00:00",,,,
432,8670,,,18,,,,"01/27/23 00:00:00",,,,
433,8965,,,3,,,,"01/27/23 00:00:00",,,,
434,21514,,,3,,,,"01/27/23 00:00:00",,,,
435,8230,,,22,,,,"01/27/23 00:00:00",,,,
436,2276,,,54,,,,"01/27/23 00:00:00",,,,
437,19769,,,3,,,,"01/27/23 00:00:00",,,,
438,9167,,,38,,,,"01/27/23 00:00:00",,,,
439,23193,,,38,,,,"01/27/23 00:00:00",,,,
440,17104,,,54,,,,"01/27/23 00:00:00",,,,
441,16494,,,54,,,,"01/27/23 00:00:00",,,,
442,16633,,,18,,,,"01/27/23 00:00:00",,,,
443,16357,,,18,,,,"01/27/23 00:00:00",,,,
444,16773,,,18,,,,"01/27/23 00:00:00",,,,
445,21576,,,54,,,,"01/27/23 00:00:00",,,,
446,7520,,,23,,,,"01/27/23 00:00:00",,,,
447,23429,,,34,,,,"01/27/23 00:00:00",,,,
448,8970,,,38,,,,"01/27/23 00:00:00",,,,
449,24015,,,45,,,,"01/27/23 00:00:00",,,,
450,8606,,,38,,,,"01/27/23 00:00:00",,,,
451,5528,,,23,,,,"01/27/23 00:00:00",,,,
452,7250,,,38,,,,"01/27/23 00:00:00",,,,
453,19310,,,18,,,,"01/27/23 00:00:00",,,,
454,20583,,,38,,,,"01/27/23 00:00:00",,,,
455,19302,,,38,,,,"01/27/23 00:00:00",,,,
456,18554,,,18,,,,"01/27/23 00:00:00",,,,
457,4642,,,18,,,,"01/27/23 00:00:00",,,,
458,16487,,,18,,,,"01/27/23 00:00:00",,,,
459,8948,,,75,,,,"01/27/23 00:00:00",,,,
460,16475,,,18,,,,"01/27/23 00:00:00",,,,
461,24094,,,3,,,,"01/27/23 00:00:00",,,,
462,18647,,,18,,,,"01/27/23 00:00:00",,,,
463,8248,,,18,,,,"01/27/23 00:00:00",,,,
464,17072,,,18,,,,"01/27/23 00:00:00",,,,
