ID_Docu,Date_Docu,Hyperlink_Docu,File_Name_1,Description_Docu,Remarks_Docu,Link Investor ID (Source_Name_1),Date entered_Docu,LastModified_Docu,UpdatedBy_Docu,xx Link Investee ID (Source_Name_2)
331,"05/13/21 00:00:00","https://mp.weixin.qq.com/s?src=11&timestamp=1636347222&ver=3423&signature=k0oza6t8OR6CUlxIqQTp9EG4LO6uEP3NKAZN9*mOhuQAXwH-rk*Hh0TU-ET-*ugCFGS2qr*eyDD35LLMfMOjarVhuoccDTdhhXmwW*zzT3aag*cy0-JPlhPj3xunmNQw&new=1","0000000331.pdf",,"Series A & A+",2243,"11/08/21 00:00:00","11/08/21 13:24:12","atsai",
337,"05/14/21 00:00:00","https://mp.weixin.qq.com/s?src=11&timestamp=1636355440&ver=3423&signature=ea0sqF3ra9G4ov7yjSJJrKJN2jwXnqrfEmx9Nn3zUtdYnlcuC3AH8ySwx3EjZfg0AvcRsWPVyizAy2u9rHnc2YJ9WJa1mXiZpu-zJmCUKYBZnFPsEFxJwlAVBVwh6bzv&new=1","0000000337.pdf",,"Seed Round",17667,"11/08/21 00:00:00","11/08/21 15:39:27","atsai",
357,"06/29/21 00:00:00","https://mp.weixin.qq.com/s?src=11&timestamp=1636425597&ver=3425&signature=YIBlOpwKZ0HLaB5iu-UChQc6Cr5WHRVfVA1G1A2-tQnoykTvvmpy9oLyvpkb1PQVRchQitVZGnvltyhtILluIH4nxFFBCysRpZXAlW2V78y97XtGdMwkTBVca-knYLP6&new=1","0000000357.pdf",,"Series A",3588,"11/09/21 00:00:00","11/09/21 10:54:23","atsai",
919,"11/30/21 00:00:00",,"0000000919.pdf",,,2679,"12/03/21 00:00:00","12/03/21 15:02:00","rtang",
920,"11/12/21 00:00:00","https://e.vnexpress.net/news/business/companies/sk-group-invests-340-mln-in-masan-subsidiary-4384731.html","0000000920.pdf",,,18316,"12/03/21 00:00:00","12/03/21 15:07:19","damongwi",
1201,"12/20/21 00:00:00",,"0000001201.pdf","newspaper",,17545,"12/20/21 00:00:00","12/20/21 10:03:47","atsai",
1260,"12/23/21 00:00:00",,"0000001260.pdf","newspaper",,1817,"12/23/21 00:00:00","12/23/21 11:12:10","atsai",
1304,"12/13/21 00:00:00","https://www.prnewswire.com/news-releases/the-crownx-announces-final-capital-raising-round-of-usd350-million-partners-with-tpg-adia-and-seatown-301442824.html","0000001304.pdf",,,17223,"12/24/21 00:00:00","12/24/21 18:31:33","damongwi",
1375,"09/30/21 00:00:00","http://www.immpe.com/immpe/wp-content/uploads/2021/09/IMM-ESG-Brochure_20210903_Eng.pdf","0000001375.pdf","IMM PE - ESG Brochure",,1511,"12/31/21 00:00:00","12/31/21 14:52:32","hlo",
1448,"08/03/18 00:00:00","https://www.privateequitywire.co.uk/2018/08/03/267121/compass-acquire-bfi-finance-stake","0000001448.pdf",,,18919,"01/04/22 00:00:00","01/04/22 17:27:13","damongwi",
1489,"01/06/22 00:00:00","https://www.generalatlantic.com/portfolio/","0000001489.pdf",,,1442,"01/06/22 00:00:00","01/06/22 14:27:09","hlo",
1612,"01/20/22 00:00:00","https://m.pulsenews.co.kr/view.php?sc=30800020&year=2022&no=52748","0000001612.pdf","mezzanine financing",,19092,"01/20/22 00:00:00","01/20/22 10:00:08","blam",
1663,"01/19/22 00:00:00","https://www.blackstone.com/news/press/blackstone-acquires-interplex-a-global-leader-in-customized-connector-solutions-for-high-growth-markets/","0000001663.pdf",,,16163,"01/25/22 00:00:00","01/25/22 15:39:52","damongwi",
2030,"02/02/22 00:00:00","https://prtimes.jp/main/html/rd/p/000000091.000023143.html","0000002030.pdf","HRBrain Inc                5th funding",,9000,"02/19/22 00:00:00","02/19/22 13:58:19","eugeniang",
2031,"02/26/22 00:00:00",,"0000002031.docx","HRBrain Inc                5th funding",,17280,"02/19/22 00:00:00","02/19/22 13:59:11","eugeniang",
2346,"02/20/22 00:00:00","https://www.ft.com/content/2c3065b6-7caf-4394-afe5-956ec5d4fe2c","0000002346.pdf",,,17545,"03/08/22 00:00:00","03/08/22 14:43:44","atsai",
2715,"03/17/22 00:00:00",,"0000002715.pdf","FT Newspaper","part 1 & part 2",1286,"03/29/22 00:00:00","03/29/22 12:56:37","atsai",
2721,"06/25/20 00:00:00","http://edgar.secdatabase.com/19/95014220001696/filing-main.htm","0000002721.pdf",,,20527,"03/29/22 00:00:00","03/29/22 16:16:23","rtang",
2761,"11/26/21 00:00:00",,"0000002761.pdf",,,20308,"03/31/22 00:00:00","05/06/22 16:05:55","vlee",
2762,"11/26/21 00:00:00",,"0000002762.pdf",,,20308,"03/31/22 00:00:00","05/31/22 19:28:18","vlee",
2763,"12/10/21 00:00:00",,"0000002763.pdf",,,20308,"03/31/22 00:00:00","05/06/22 17:45:18","vlee",
2764,"01/19/22 00:00:00","https://www.samr.gov.cn/fldj/ajgs/jzjyajgs/202201/t20220119_339232.html","0000002764.pdf",,,18746,"03/31/22 00:00:00","05/06/22 17:44:27","vlee",
3186,"04/21/22 00:00:00","https://economictimes.indiatimes.com/industry/banking/finance/baring-private-equity-asia-set-to-raise-up-to-700-million-through-debt/articleshow/90965662.cms?from=mdr","0000003186.pdf","Debt Financing by BPEA",,17212,"04/28/22 00:00:00","04/28/22 14:52:29","damongwi",
3319,"01/27/22 00:00:00",,"0000003319.pdf",,,20308,"05/06/22 00:00:00","05/06/22 17:46:54","vlee",
3320,"01/30/22 00:00:00",,"0000003320.pdf",,,20308,"05/06/22 00:00:00","05/06/22 17:47:49","vlee",
3321,"03/09/22 00:00:00",,"0000003321.pdf",,,20308,"05/06/22 00:00:00","05/06/22 17:48:44","vlee",
3325,"03/30/22 00:00:00",,"0000003325.pdf",,,20308,"05/06/22 00:00:00","05/06/22 17:50:29","vlee",
3326,"03/31/22 00:00:00",,"0000003326.pdf",,,20308,"05/06/22 00:00:00","05/06/22 17:55:01","vlee",
3328,"04/11/22 00:00:00",,"0000003328.pdf",,,20308,"05/06/22 00:00:00","05/06/22 17:56:26","vlee",
3470,"05/11/22 00:00:00","https://www.afr.com/property/commercial/hong-kong-firm-snaps-up-hilton-sydney-for-record-530m-20220510-p5ak60","0000003470.pdf",,,17221,"05/17/22 00:00:00","05/17/22 19:08:06","jkhaw",
3628,"06/24/21 00:00:00","https://webb-site.com/dbpub/orgdata.asp?p=131851","0000003628.pdf","Background of Company (Name changing)",,16124,"05/25/22 00:00:00","05/25/22 14:37:03","hlo",
3677,"05/26/22 00:00:00",,"0000003677.pdf","Carlyle acquire HCP from BPEA",,1769,"05/27/22 00:00:00","05/27/22 11:22:27","vlee",
3817,"09/18/19 00:00:00","https://www.tokiomarinehd.com/en/release_topics/release/h10q7e000000qpop-att/20190918_e.pdf","0000003817.pdf",,,18615,"05/31/22 00:00:00","05/31/22 18:01:48","rtang",
3820,"05/30/22 00:00:00","https://www.bpeasia.com/wp-content/uploads/2022/05/BPEA-Closes-the-Largest-Take-Private-Consumer-Transaction-in-Taiwan-to-Date-with-its-Investment-in-Ginko.pdf","0000003820.pdf","Closing of its investment in Ginko International",,1286,"05/31/22 00:00:00","05/31/22 18:32:00","vlee",
3821,"05/26/22 00:00:00","https://www.globalcapital.com/asia/article/2a58op09lxg293e3lpmo0/asia-syndicated-loans/asia-leveraged-non-investment-grade-loans/baring-asia-ginko-allocations-revealed","0000003821.pdf","US$640 mil loan raised by BPEA in Ginko's Deal",,18680,"05/31/22 00:00:00","05/31/22 20:10:47","vlee",
3830,"11/27/21 00:00:00","https://udn.com/news/story/7254/5920085","0000003830.pdf","Implied official of Glamor Vision's shareholding",,13961,"06/01/22 00:00:00","06/01/22 10:32:51","vlee",
3862,"05/26/22 00:00:00","https://www.globalcapital.com/asia/article/2a5a5ux75ebwwoapfz0g0/asia-syndicated-loans/asia-leveraged-non-investment-grade-loans/allocations-unveiled-for-baring-asia-igt-solutions-loan#:~:text=Allocations%20have%20been%20revealed%20for,process%20outsourcing%20(BPO)%20firm.","0000003862.pdf",,,18680,"06/02/22 00:00:00","06/02/22 15:56:12","jkhaw",
4346,"06/29/22 00:00:00","https://www.permira.com/about/media/simon-segars-joins-as-senior-adviser-to-permira-s-global-technology-team","0000004346.pdf","People on the Move",,1677,"06/30/22 00:00:00","06/30/22 11:32:52","hlo",
4574,"07/06/22 00:00:00",,"0000004574.pdf","General",,21406,"07/06/22 00:00:00","07/06/22 17:50:09","hlo",
4736,"07/20/22 00:00:00","https://gs.amac.org.cn/amac-infodisc/res/pof/fund/2111031747120648.html","0000004736.pdf",,,20699,"07/20/22 00:00:00","07/20/22 15:13:25","atsai",
5066,"08/07/22 00:00:00","https://www.carlyle.com/media-room/news-release-archive/carlyle-announces-senior-leadership-changes","0000005066.pdf","People on the Move",,1769,"08/10/22 00:00:00","08/10/22 11:48:31","hlo",
5126,"08/12/22 00:00:00","https://cdn1.cppinvestments.com/wp-content/uploads/2022/08/cpp-investments-q1-f2023-news-release-aug-11-2022-eng-1.pdf","0000005126.pdf",,,1305,"08/12/22 00:00:00","08/12/22 15:20:55","blam",
5996,"09/27/22 00:00:00","https://www.otpp.com/en-ca/about-us/news-and-insights/2022/ontario-teachers-grows-presence-in-india-with-mumbai-office-opening/","0000005996.pdf","Open Mumbai office",,3364,"09/29/22 00:00:00","09/29/22 10:43:33","hlo",
6083,"10/05/22 00:00:00","https://www.linkedin.com/in/subeer-monga-87317714/?originalSubdomain=in","0000006083.pdf","People on the Move",,12506,"10/05/22 00:00:00","10/05/22 14:42:33","hlo",
6139,"10/08/22 00:00:00","https://www.linkedin.com/company/tvs-capital-funds-limited/posts/?feedView=all","0000006139.pdf","People on the Move",,1793,"10/10/22 00:00:00","10/10/22 15:37:53","hlo",
6204,"10/12/22 00:00:00","https://www.afr.com/street-talk/affinity-equity-partners-boss-sam-johnson-to-exit-recruiter-appointed-20221012-p5bp89","0000006204.pdf","People on the Move",,17221,"10/13/22 00:00:00","10/13/22 11:12:18","hlo",
6273,"10/14/22 00:00:00","https://www.advantagepartners.com/wp/wp-content/uploads/2022/10/株式会社ネットジャパンの株式譲受に関するお知らせ.pdf","0000006273.pdf",,,1240,"10/18/22 00:00:00","10/18/22 18:42:28","rtang",
6274,"10/14/22 00:00:00","https://www.net-japan.co.jp/info/2022/10/post_88.html","0000006274.pdf",,,24046,"10/18/22 00:00:00","10/18/22 18:43:46","rtang",
6275,"10/14/22 00:00:00","https://www.advantagepartners.com/en/portfolio/","0000006275.pdf",,,1240,"10/18/22 00:00:00","10/18/22 18:45:01","rtang",
6334,"01/07/21 00:00:00","https://cn.horizon.ai/news-detail.html?id=56","0000006334.pdf","Series C2",,24120,"10/21/22 00:00:00","10/21/22 09:58:20","atsai",
6335,"02/09/21 00:00:00","https://cn.horizon.ai/news-detail.html?id=65","0000006335.pdf","Series C3",,24120,"10/21/22 00:00:00","10/21/22 09:59:01","atsai",
6336,"03/01/21 00:00:00","https://news.pedaily.cn/202106/472723.shtml","0000006336.pdf","Series C 4",,17486,"10/21/22 00:00:00","10/21/22 10:07:11","atsai",
6337,"05/01/21 00:00:00","https://news.pedaily.cn/202106/472723.shtml","0000006337.pdf","Series C 6",,17486,"10/21/22 00:00:00","10/21/22 10:06:35","atsai",
6396,"10/21/22 00:00:00","https://www.permira.com/about/news/permira-announces-appointment-of-siddharth-narayan-as-head-of-india","0000006396.pdf","People on the Move",,1677,"10/24/22 00:00:00","10/24/22 17:18:12","hlo",
6424,"10/14/22 00:00:00",,"0000006424.pdf",,,1240,"10/26/22 00:00:00","10/26/22 08:05:41","m.kita",
6433,"10/23/22 00:00:00","https://www.carlyle.com/media-room/news-release-archive/carlyle-names-industry-veteran-geoff-hutchinson-as-managing-director-and-head-of-private-equity-in-australia-and-new-zealand","0000006433.pdf","People on the Move",,1769,"10/26/22 00:00:00","10/26/22 15:00:50","hlo",
6444,"10/20/22 00:00:00","https://www.baincapital.com/news/citiustech-announces-investment-and-strategic-partnership-bain-capital-private-equity","0000006444.pdf",,,9852,"10/26/22 00:00:00","10/26/22 18:49:49","blam",
6454,"10/27/22 00:00:00","https://www.temasek.com.sg/en/news-and-resources/news-room/statements/2022/statement-Temasek-executive-movements","0000006454.pdf","People on the Move",,1760,"10/27/22 00:00:00","10/27/22 15:05:29","hlo",
6488,"10/26/22 00:00:00","https://cdn-api.markitdigital.com/apiman-gateway/ASX/asx-research/1.0/file/2924-02588025-3A605492?access_token=83ff96335c2d45a094df02a206a39ff4","0000006488.pdf",,,24286,"10/28/22 00:00:00","10/28/22 18:28:45","jkhaw",
6862,"11/22/22 00:00:00","https://www.ey.com/en_in/news/2022/11/total-investment-flow-in-october-22-stands-75-percent-lower-than-last-year","0000006862.pdf",,,,"11/22/22 00:00:00","11/22/22 09:19:29","blam",
6983,"11/17/22 00:00:00","https://www.ifminvestors.com/about-us/media-centre/!news/2022/11/16/ifm-investors-and-unisuper-partner-with-prp-diagnostic-imaging","0000006983.pdf",,,7253,"11/28/22 00:00:00","11/28/22 18:47:10","jkhaw",
6984,"11/21/22 00:00:00","https://www.afr.com/street-talk/ifm-unisuper-lock-in-300m-debt-package-for-prp-diagnostic-buy-20221121-p5bzz8","0000006984.pdf",,,17221,"11/28/22 00:00:00","11/28/22 18:49:01","jkhaw",
7247,"12/20/22 00:00:00","https://media.kkr.com/news-details/?news_id=a7348c77-be86-4791-bdb0-e1e4f30c3de9","0000007247.pdf","KKR TO ACQUIRE BUSHU PHARMACEUTICALS",,2309,"12/20/22 00:00:00","12/20/22 16:39:15","rtang",
7248,"12/20/22 00:00:00","https://eqtgroup.com/news/2022/bpea-eqt-to-sell-bushu-pharmaceuticals-a-leading-pharmaceutical-cdmo-in-japan","0000007248.pdf","BPEA EQT to sell Bushu Pharmaceuticals, a leading pharmaceutical CDMO in Japan",,24043,"12/20/22 00:00:00","12/20/22 16:42:30","rtang",
7249,"08/05/22 00:00:00","https://www.bloomberg.com/news/articles/2022-08-05/baring-asia-is-said-to-weigh-sale-of-japanese-firm-bushu-pharma?leadSource=uverify%20wall","0000007249.pdf","Baring Asia Weighs Sale of Japanese Firm Bushu Pharmaceuticals, Sources Say",,18357,"12/20/22 00:00:00","12/20/22 16:44:23","rtang",
7250,"12/20/22 00:00:00","https://www.reuters.com/markets/deals/private-equity-giant-kkr-buy-japans-bushu-pharmaceuticals-2022-12-20/","0000007250.pdf","Private equity giant KKR to buy Japan's Bushu Pharmaceuticals",,10824,"12/20/22 00:00:00","12/20/22 16:44:54","rtang",
7262,"12/20/22 00:00:00","https://www.nikkei.com/article/DGXZQOUB203CR0Q2A221C2000000/","0000007262.pdf",,,12903,"12/21/22 00:00:00","12/21/22 10:28:13","rtang",
7398,"12/26/22 00:00:00","https://economictimes.indiatimes.com/tech/funding/wework-india-raises-rs-550-crore-from-bpea-credit-managed-fund/printarticle/96510173.cms","0000007398.pdf",,,17212,"12/30/22 00:00:00","12/30/22 13:27:14","jkhaw",
7642,"01/25/23 00:00:00","https://www.partnersgroup.com/en/news-views/press-releases/corporate-news/detail/article/partners-group-continues-to-strengthen-its-presence-in-japan-with-the-appointment-of-teppei-kawai-as-country-head/","0000007642.pdf","People on the Move",,1673,"01/25/23 00:00:00","01/25/23 16:23:52","hlo",
7783,"02/06/23 00:00:00","https://www.carlyle.com/media-room/news-release-archive/harveyschwartz-ceo","0000007783.pdf","People on the Move",,1769,"02/07/23 00:00:00","02/07/23 14:25:42","hlo",
8038,"02/23/23 00:00:00","https://media.kkr.com/news-details/?news_id=676f32d1-f7cb-487d-aa86-3773809fa675#","0000008038.pdf","People on the Move",,2309,"02/24/23 00:00:00","02/24/23 11:05:56","hlo",
8089,"03/27/23 00:00:00","https://www.carlyle.com/media-room/news-release-archive/peter-clare-to-retire-from-carlyle-and-as-a-member-of-the-board-of-directors-after-31-years-at-the-firm","0000008089.pdf","People on the Move",,1769,"03/01/23 00:00:00","03/01/23 12:02:18","hlo",
8146,"03/06/23 00:00:00","https://www.generalatlantic.com/media-article/adq-and-ihc-to-create-a-leading-independent-investment-manager-in-the-mena-region/","0000008146.pdf","General",,1442,"03/08/23 00:00:00","03/08/23 10:14:19","hlo",
8209,"02/09/23 00:00:00","https://www.cppinvestments.com/public-media/headlines/2023/cpp-investments-net-assets-total-536-billion-at-third-quarter-fiscal-2023/","0000008209.pdf",,,2229,"03/15/23 00:00:00","03/15/23 11:43:09","vlee",
8265,"02/09/23 00:00:00","https://www.cppinvestments.com/public-media/headlines/2023/cpp-investments-net-assets-total-536-billion-at-third-quarter-fiscal-2023/","0000008265.pdf",,,2229,"03/19/23 00:00:00","03/19/23 23:50:13","jkhaw",
8346,"03/22/23 00:00:00","https://mp.weixin.qq.com/s/mg3DHQ_k3GwbCAVcCFd1Fw","0000008346.pdf","Series B",,26294,"03/24/23 00:00:00","03/24/23 11:55:02","atsai",
8347,"05/20/20 00:00:00","https://finance.eastmoney.com/a/202005151487516586.html","0000008347.pdf","Series A",,18790,"03/24/23 00:00:00","03/24/23 12:04:27","atsai",
8699,"04/25/23 00:00:00","https://eqtgroup.com/news/2023/bpea-eqt-in-partnership-with-nord-anglia-education-to-acquire-img-academy-a-world-leading-sports-education-brand/","0000008699.pdf",,,1416,"04/27/23 00:00:00","04/27/23 16:53:30","vlee",
8943,"05/09/23 00:00:00","https://www.vccircle.com/carlyletops-up-bet-on-indian-firm-with-over-100-mn-cheque","0000008943.pdf",,,17227,"05/19/23 00:00:00","05/19/23 16:12:18","jkhaw",
9126,"06/02/23 00:00:00","https://www.privateequityinternational.com/otpp-to-undergo-major-apac-leadership-overhaul/","0000009126.pdf","People on the Move",,19992,"06/05/23 00:00:00","06/05/23 10:07:24","hlo",
9127,"06/01/23 00:00:00","https://www.scmp.com/business/banking-finance/article/3222551/ontario-teachers-pension-loses-senior-executives-asia-while-fund-hits-pause-china-deals","0000009127.pdf","People on the Move",,17543,"06/05/23 00:00:00","06/05/23 10:16:19","hlo",
9128,"06/02/23 00:00:00","https://www.linkedin.com/in/ben-chan-9839232/","0000009128.pdf","People on the Move",,12506,"06/05/23 00:00:00","06/05/23 10:17:55","hlo",
9208,"06/14/23 00:00:00","https://www.linkedin.com/in/naveen-unni/details/experience/","0000009208.pdf","People on the Move",,12506,"06/14/23 00:00:00","06/14/23 11:24:52","hlo",
9217,"06/10/23 00:00:00",,"0000009217.docx","KN Trip report 2023-06-06 week - Tokyo",,17280,"06/14/23 00:00:00","06/14/23 16:35:44","rtang",
9231,"06/16/23 00:00:00","https://www.kedglobal.com/pension-funds/newsView/ked202306150022","0000009231.pdf","Fund allocation (by LP) info",,17894,"06/16/23 00:00:00","06/16/23 14:35:07","hlo",
9240,"06/20/23 00:00:00","https://www.moneycontrol.com/news/business/kkr-shuffles-asia-buyout-team-after-15-billion-fund-raise-10823551.html","0000009240.pdf","People on the Move",,18357,"06/20/23 00:00:00","06/20/23 12:48:46","hlo",
9256,"06/21/23 00:00:00","https://www.linkedin.com/in/hwee-loo-tan-023b601b/?originalSubdomain=sg","0000009256.pdf","People on the Move",,1446,"06/21/23 00:00:00","06/21/23 16:37:18","hlo",
9296,"06/19/23 00:00:00","https://www.prnewswire.com/news-releases/bpea-eqt-led-consortium-to-acquire-hdfc-credila--indias-largest-non-bank-education-loan-specialist-enabling-academic-studies-for-the-countrys-growing-young-population-301854883.html","0000009296.pdf",,,17223,"06/27/23 00:00:00","06/27/23 14:33:23","jkhaw",
9297,"06/19/23 00:00:00","https://www.bseindia.com/xml-data/corpfiling/AttachLive/68de22a9-65cb-45af-b313-567c659ee7cd.pdf","0000009297.pdf",,,11794,"06/27/23 00:00:00","06/27/23 14:36:18","jkhaw",
9306,"06/27/23 00:00:00","https://www.otpp.com/en-ca/about-us/news-and-insights/2023/ontario-teachers--appoints-bruce-crane-as-head-of-asia-pacific-region/","0000009306.pdf","People on the Move",,3364,"06/28/23 00:00:00","06/28/23 09:05:20","hlo",
9361,"06/30/23 00:00:00","https://www.linkedin.com/feed/update/urn:li:activity:7080490384753119232/","0000009361.pdf","People on the Move",,12506,"07/03/23 00:00:00","07/03/23 17:58:41","hlo",
9506,"07/19/23 00:00:00","https://warburgpincus.com/2023/07/19/warburg-pincus-announces-that-jeffrey-perlman-will-become-president/","0000009506.pdf","People on the Move",,1817,"07/20/23 00:00:00","07/20/23 09:32:15","hlo",
9559,"07/28/23 00:00:00","https://eqtgroup.com/news/2023/bpea-eqt-to-acquire-a-majority-stake-in-indira-ivf-india-s-largest-chain-of-fertility-clinics/","0000009559.pdf",,,24043,"07/31/23 00:00:00","07/31/23 17:29:03","jkhaw",
9605,"08/04/23 00:00:00","https://www.kedglobal.com/private-equity/newsView/ked202308040022","0000009605.pdf","People on the Move",,17894,"08/07/23 00:00:00","08/07/23 17:58:23","hlo",
9879,"06/20/14 00:00:00","https://www.ft.com/content/6f160a50-f5fe-11e3-a038-00144feabdc0","0000009879.pdf","General",,17545,"09/01/23 00:00:00","09/01/23 11:51:16","hlo",
9913,"08/30/23 00:00:00","https://www.afr.com/street-talk/buyout-bigwig-cvc-poaches-kkr-dealmaker-amid-aussie-push-20230830-p5e0of","0000009913.pdf","People on the Move",,17221,"09/04/23 00:00:00","09/04/23 10:50:42","hlo",
10053,"09/19/23 00:00:00","https://pressroom.ifc.org/all/pages/PressDetail.aspx?ID=27757","0000010053.pdf","People on the Move",,1526,"09/19/23 00:00:00","09/19/23 15:23:57","hlo",
10099,"08/17/23 00:00:00","https://www.jpx.co.jp/english/listing/stocks/new/p6b22i0000004a6s-att/09Integral-1s.pdf","0000010099.pdf","IPO prospectus",,7420,"09/21/23 00:00:00","09/21/23 11:51:56","rtang",
10118,"09/22/23 00:00:00","https://www.linkedin.com/posts/ggv-capital_ggv-capital-global-update-activity-7110661571487399936-2HnF/?utm_source=share&utm_medium=member_desktop","0000010118.pdf","Splint of operations",,1445,"09/22/23 00:00:00","09/22/23 10:03:44","hlo",
10260,"10/04/23 00:00:00","https://media.kkr.com/news-details/?news_id=b2dc06eb-fc6c-4d05-95c9-f667a0494a29","0000010260.pdf","People on the Move",,2309,"10/05/23 00:00:00","10/05/23 15:44:39","hlo",
10649,"11/10/23 00:00:00","https://www.prnewswire.com/apac/news-releases/bpea-eqt-to-commence-tender-offer-to-privatize-benesse-holdings-inc-in-partnership-with-its-founding-family-301984460.html","0000010649.pdf","BPEA EQT to commence Tender Offer to privatize Benesse Holdings, Inc. in partnership with its founding famil",,24043,"11/13/23 00:00:00","11/13/23 10:08:45","rtang",
10650,"11/10/23 00:00:00","https://pdf.irpocket.com/C9783/MH4b/r0vN/Vx5a.pdf","0000010650.pdf","Announcement of Opinion concerning the Scheduled Tender Offer
for the Company’s Share Certificates, Etc. by Bloom 1 K.K. as part of an MBO",,9938,"11/13/23 00:00:00","11/13/23 10:18:16","rtang",
10651,"11/10/23 00:00:00","https://pdf.irpocket.com/C9783/MH4b/r0vN/D3vV.pdf","0000010651.pdf","Notice Regarding Planned Commencement of Tender Offer for Benesse Holdings, Inc. (Securities Code: 9783) by Bloom1 K.K",,9938,"11/13/23 00:00:00","11/13/23 10:18:11","rtang",
10681,"11/11/23 00:00:00","https://asia.nikkei.com/Business/Business-deals/Japan-education-firm-Benesse-to-go-private-with-Sweden-s-EQT","0000010681.pdf","Japan education firm Benesse to go private with Sweden's EQT - Nikkei Asia.pdf",,12903,"11/14/23 00:00:00","11/14/23 17:09:33","rtang",
10891,"11/27/23 00:00:00","https://www.prnewswire.com/news-releases/bpea-eqt-mid-market-growth-to-acquire-a-majority-stake-in-hrbrain-a-fast-growing-hr-software-provider-in-japan-301997813.html","0000010891.pdf","BPEA EQT Mid-Market Growth to acquire a majority stake in HRBrain, a fast-growing HR software provider in Japan",,24043,"12/01/23 00:00:00","12/01/23 12:59:05","rtang",
10892,"11/27/23 00:00:00","https://www.nikkei.com/article/DGXZQOUB275SI0X21C23A1000000/","0000010892.pdf",,,12903,"12/01/23 00:00:00","12/01/23 13:00:02","rtang",
10893,"11/28/23 00:00:00","https://thebridge.jp/en/2023/11/hrbrain-acquired-by-eqt","0000010893.pdf","Japan’s talent assessment platform HRBrain acquired by Swedish investment firm EQT",,18854,"12/01/23 00:00:00","12/01/23 13:01:28","rtang",
