ID_FirmCate,Firm_MainCate,Firm_SubCate_Lv1,Firm_SubCate_Lv2,Display Firm_MainCate in APER,Display Firm_SubCate_Lv1 in APER,Ranking of SubCate_Lv1 in MsAccess,Display Firm_MainCate in Databank,Ranking of Firm_MainCate in Databank,Display Firm_SubCate_Lv1 in Databank,Ranking of Firm_SubCate_Lv1 in Databank,Note_internal,Example
21,"Infrastructure / Real Assets / Logistics (Investment)","Infrastructure / Real Assets (Investment)",,"Infrastructure / Real Assets / Logistics (Investment)","Infrastructure / Real Assets (Investment)",2001,"Infrastructure / Real Assets / Logistics (Investment)",,"Infrastructure / Real Assets (Investment)",,,
22,"Infrastructure / Real Assets / Logistics (Investment)","Logistics (Investment)",,"Infrastructure / Real Assets / Logistics (Investment)","Logistics (Investment)",2002,"Infrastructure / Real Assets / Logistics (Investment)",,"Logistics (Investment)",,,
23,"Investment Company","Investment Company (invest through own funding)",,"Investment Company","Investment Company",2101,"Investment Company",,"Investment Company",,"Non-PE focus Investment Firm",
24,"Multilateral Organisation / DFI (Non-profit making)","DFI",,"Multilateral Organisation / DFI","DFI",2201,"Multilateral Organisation / DFI",,"DFI",,,
25,"Multilateral Organisation / DFI (Non-profit making)","Multilateral Organisation",,"Multilateral Organisation / DFI","Multilateral Organisation",2202,"Multilateral Organisation / DFI",,"Multilateral Organisation",,,
26,"Private Equity","Principal Investment [financial institution that make PE investment through their own money]",,"Private Equity","Principal Investment",2309,"Private Equity",,"Principal Investment",,,
27,"Private Equity","Private Credit Investor",,"Private Equity","Private Credit Investor",2305,"Private Equity",,"Private Credit Investor",,,
28,"Private Equity","Private Equity investor",,"Private Equity","Private Equity investor",2301,"Private Equity",,"Private Equity investor",,,
29,"Private Equity","Venture Capital investor",,"Private Equity","Venture Capital investor",2302,"Private Equity",,"Venture Capital investor",,,
30,"Private Market Advisor (Private Market Investor) (Fund of funds)","Private Market Advisor (Private Market Investor) (Fund of funds)\",,"Private Market Advisor","Private Market Advisor",2401,"Private Market Advisor",,"Private Market Advisor",,,
31,"Sovereign Fund","Sovereign Fund",,"Sovereign Fund","Sovereign Fund",2501,"Sovereign Fund",,"Sovereign Fund",,,
32,"Academic Institution / Endowment & Foundation","Academic Institution / Endowment & Foundation",,"Academic Institution / Endowment & Foundation","Academic Institution / Endowment & Foundation",1000,"Academic Institution / Endowment & Foundation",,"Academic Institution / Endowment & Foundation",,,
33,"Accelerator / Incubator / Entrepreneurship Program","Accelerator / Incubator / Entrepreneurship Program",,"Accelerator / Incubator / Entrepreneurship Program","Accelerator / Incubator / Entrepreneurship Program",1100,"Accelerator / Incubator / Entrepreneurship Program",,"Accelerator / Incubator / Entrepreneurship Program",,,
34,"Banking & Financial Institution / Pension","Banking & Financial Institution / Pension",,"Banking & Financial Institution / Pension","Banking & Financial Institution / Pension",1200,"Banking & Financial Institution / Pension",,"Banking & Financial Institution / Pension",,,
35,"Financial Services Provider (non-investment)","Financial Services Provider (non-investment)",,"Financial Services Provider","Financial Services Provider",1600,"Financial Services Provider",,"Financial Services Provider",,,
36,"Infrastructure / Real Assets / Logistics (Investment)","Infrastructure / Real Assets / Logistics (Investment)",,"Infrastructure / Real Assets / Logistics (Investment)","Infrastructure / Real Assets / Logistics (Investment)",2000,"Infrastructure / Real Assets / Logistics (Investment)",,"Infrastructure / Real Assets / Logistics (Investment)",,,
37,"Multilateral Organisation / DFI (Non-profit making)","Multilateral Organisation / DFI (Non-profit making)",,"Multilateral Organisation / DFI","Multilateral Organisation / DFI",2200,"Multilateral Organisation / DFI",,"Multilateral Organisation / DFI",,,
38,"Private Equity","Private Equity",,"Private Equity","Private Equity",2300,"Private Equity",,"Private Equity",,,
39,"Private Equity","Venture Debt Investor",,"Private Equity","Venture Debt Investor",2306,"Private Equity",,"Venture Debt Investor",,,
